Date,Team1,Team2,Winner,Venue
12-13-2021, Pakistan , West Indies,Pakistan,National Stadium
11-22-2021, Bangladesh , Pakistan,Pakistan,Shere Bangla National Stadium
11-21-2021, India , New Zealand,India,Eden Gardens
11-20-2021, Bangladesh , Pakistan,Pakistan,Shere Bangla National Stadium
11-20-2021, Tanzania , Uganda,Uganda,Gahanga International Cricket Stadium. Rwanda
11-20-2021, Kenya , Nigeria,Kenya,Integrated Polytechnic Regional Centre
11-20-2021, Kenya , Uganda,Uganda,Gahanga International Cricket Stadium. Rwanda
11-20-2021, Tanzania , Nigeria,Tanzania,Integrated Polytechnic Regional Centre
11-19-2021, Bangladesh , Pakistan,Pakistan,Shere Bangla National Stadium
11-19-2021, New Zealand , India,India,JSCA International Stadium Complex
11-18-2021, Tanzania , Uganda,Uganda,Gahanga International Cricket Stadium. Rwanda
11-18-2021, Nigeria , Kenya,Kenya,Integrated Polytechnic Regional Centre
11-18-2021, Tanzania , Kenya,Kenya,Gahanga International Cricket Stadium. Rwanda
11-18-2021, Nigeria , Uganda,Uganda,Integrated Polytechnic Regional Centre
11-17-2021, New Zealand , India,India,Sawai Mansingh Stadium
11-17-2021, Nigeria , Tanzania,Tanzania,Gahanga International Cricket Stadium. Rwanda
11-17-2021, Kenya , Uganda,Kenya,Integrated Polytechnic Regional Centre
11-17-2021, Uganda , Nigeria,Uganda,Gahanga International Cricket Stadium. Rwanda
11-17-2021, Tanzania , Kenya,Tanzania,Integrated Polytechnic Regional Centre
11-14-2021, New Zealand , Australia,Australia,Dubai International Cricket Stadium
11-14-2021, Canada , Panama,Canada,Coolidge Cricket Ground
11-13-2021, Bahamas , USA,United States of America,Coolidge Cricket Ground
11-13-2021, Belize , Bermuda,Bermuda,Sir Vivian Richards Stadium
11-13-2021, Panama , Bahamas,Panama,Coolidge Cricket Ground
11-13-2021, Argentina , Canada,Canada,Sir Vivian Richards Stadium
11-11-2021, Pakistan , Australia,Australia,Dubai International Cricket Stadium
11-11-2021, Bahamas , Belize,Bahamas,Sir Vivian Richards Stadium
11-11-2021, Argentina , USA,United States of America,Sir Vivian Richards Stadium
11-10-2021, England , New Zealand,New Zealand,Zayed Cricket Stadium
11-10-2021, Canada , USA,tie,Coolidge Cricket Ground
11-10-2021, Argentina , Belize,Argentina,Sir Vivian Richards Stadium
